"TRA_new.ensembl.transcript","TRA_new.gene.symbol"
"ENSMUST00000024660","Smoc2"
"ENSMUST00000024706","Pla2g7"
"ENSMUST00000024707","Mep1a"
"ENSMUST00000024708","Tnfrsf21"
"ENSMUST00000024724","Crisp2"
"ENSMUST00000024736","Sgol1"
"ENSMUST00000024738","Sult1c1"
"ENSMUST00000024747","Vegfa"
"ENSMUST00000024773","Prph2"
"ENSMUST00000024774","Guca1b"
"ENSMUST00000024778","Med20"
"ENSMUST00000024782","Pgc"
"ENSMUST00000024794","Tspo2"
"ENSMUST00000024817","Rnf8"
"ENSMUST00000024826","Tff2"
"ENSMUST00000024827","Tff3"
"ENSMUST00000024831","Tff1"
"ENSMUST00000024832","Rsph1"
"ENSMUST00000024847","Myom1"
"ENSMUST00000024851","Ndc80"
"ENSMUST00000024866","Xdh"
"ENSMUST00000024869","Spast"
"ENSMUST00000024880","Vit"
"ENSMUST00000024888","Pja2"
"ENSMUST00000024909","Ndufv2"
"ENSMUST00000024936","Prss30"
"ENSMUST00000024944","Slc3a1"
"ENSMUST00000024954","Epas1"
"ENSMUST00000024956","Rhoq"
"ENSMUST00000024957","Pigf"
"ENSMUST00000024970","Gtf2a1l"
"ENSMUST00000024974","Hagh"
"ENSMUST00000024983","Ift140"
"ENSMUST00000025025","Dusp1"
"ENSMUST00000025045","Uqcc2"
"ENSMUST00000025060","Armc12"
"ENSMUST00000025062","Clps"
"ENSMUST00000025076","Lyzl1"
"ENSMUST00000025079","Svil"
"ENSMUST00000025083","Kif5b"
"ENSMUST00000025106","Polr2d"
"ENSMUST00000025110","Syt4"
"ENSMUST00000025117","Celf4"
"ENSMUST00000025127","Mapre2"
"ENSMUST00000025196","Psmb8"
"ENSMUST00000025217","Hspa9"
"ENSMUST00000025229","Cfb"
"ENSMUST00000025236","Stard4"
"ENSMUST00000025239","Bin1"
"ENSMUST00000025246","Csnk2b"
"ENSMUST00000025249","Apom"
"ENSMUST00000025250","Bag6"
"ENSMUST00000025257","Aif1"
"ENSMUST00000025262","Ltb"
"ENSMUST00000025273","Psors1c2"
"ENSMUST00000025279","Npc1"
"ENSMUST00000025290","Impact"
"ENSMUST00000025292","Dhx16"
"ENSMUST00000025349","Myot"
"ENSMUST00000025379","Dpysl3"
"ENSMUST00000025394","Sec11c"
"ENSMUST00000025395","Grp"
"ENSMUST00000025397","Cplx4"
"ENSMUST00000025404","Cidea"
"ENSMUST00000025439","Me2"
"ENSMUST00000025468","Pde6a"
"ENSMUST00000025497","Fbn2"
"ENSMUST00000025521","Cdx1"
"ENSMUST00000025542","Psat1"
"ENSMUST00000025546","Cndp2"
"ENSMUST00000025554","Scgb1a1"
"ENSMUST00000025571","Cd5"
"ENSMUST00000025580","Ms4a6b"
"ENSMUST00000025585","Gif"
"ENSMUST00000025598","Keg1"
"ENSMUST00000025617","Rfk"
"ENSMUST00000025631","Ostf1"
"ENSMUST00000025636","Ms4a8a"
"ENSMUST00000025641","Zp1"
"ENSMUST00000025645","Tmem132a"
"ENSMUST00000025647","Pga5"
"ENSMUST00000025666","Slc22a19"
"ENSMUST00000025667","Rtn3"
"ENSMUST00000025675","Naa40"
"ENSMUST00000025695","Ppp2r5b"
"ENSMUST00000025704","Cdca5"
"ENSMUST00000025718","Ankrd1"
"ENSMUST00000025724","Il33"
"ENSMUST00000025728","Frmd8"
"ENSMUST00000025760","Chka"
"ENSMUST00000025778","Gldc"
"ENSMUST00000025779","Cdk2ap2"
"ENSMUST00000025797","Mbl2"
"ENSMUST00000025805","Cnih2"
"ENSMUST00000025833","Papss2"
"ENSMUST00000025835","Cpt1a"
"ENSMUST00000025842","Gal"
"ENSMUST00000025866","Vldlr"
"ENSMUST00000025904","Prdx5"
"ENSMUST00000025925","Pla2g16"
"ENSMUST00000025930","Smc3"
"ENSMUST00000025951","Rbp4"
"ENSMUST00000025961","Prdx3"
"ENSMUST00000025966","Cyp2c55"
"ENSMUST00000026012","Cyp17a1"
"ENSMUST00000026032","Pcgf6"
"ENSMUST00000026045","Col17a1"
"ENSMUST00000026062","Casp7"
"ENSMUST00000026081","Pnliprp2"
"ENSMUST00000026096","Bnc1"
"ENSMUST00000026120","Bhlhe22"
"ENSMUST00000026122","P4hb"
"ENSMUST00000026125","Alyref"
"ENSMUST00000026142","Maged1"
"ENSMUST00000026144","Dcxr"
"ENSMUST00000026172","Ankrd2"
"ENSMUST00000026196","Got1"
"ENSMUST00000026210","Cpn1"
"ENSMUST00000026211","Cyp2c44"
"ENSMUST00000026221","Scd2"
"ENSMUST00000026324","Acot9"
"ENSMUST00000026328","Prdx4"
"ENSMUST00000026377","Padi3"
"ENSMUST00000026378","Padi1"
"ENSMUST00000026387","Sbds"
"ENSMUST00000026398","Mettl7b"
"ENSMUST00000026414","Dgka"
"ENSMUST00000026452","Pde6g"
"ENSMUST00000026455","Mip"
"ENSMUST00000026498","Crisp1"
"ENSMUST00000026499","Crisp3"
"ENSMUST00000026500","Avil"
"ENSMUST00000026519","4833420G17Rik"
"ENSMUST00000026540","Prap1"
"ENSMUST00000026550","Inpp5a"
"ENSMUST00000026555","Odf3"
"ENSMUST00000026602","2010106E10Rik"
"ENSMUST00000026617","Phkg1"
"ENSMUST00000026624","Tm9sf2"
"ENSMUST00000026662","Cbx2"
"ENSMUST00000026665","Cbx4"
"ENSMUST00000026666","Gaa"
"ENSMUST00000026670","Nptx1"
"ENSMUST00000026698","Podxl"
"ENSMUST00000026737","Shisa5"
"ENSMUST00000026743","Uqcrc1"
"ENSMUST00000026817","Nmb"
"ENSMUST00000026828","Fam195a"
"ENSMUST00000026839","Prps2"
"ENSMUST00000026858","Plk4"
"ENSMUST00000026879","Gdap1"
"ENSMUST00000026897","Slco3a1"
"ENSMUST00000026907","Cyp4v3"
"ENSMUST00000026912","1700008F21Rik"
"ENSMUST00000026956","Pramel6"
"ENSMUST00000026973","Prkar1b"
"ENSMUST00000026985","Cplx2"
"ENSMUST00000026989","4833439L19Rik"
"ENSMUST00000027015","Casp1"
"ENSMUST00000027020","Gria4"
"ENSMUST00000027049","Ppp1r42"
"ENSMUST00000027053","Rdh10"
"ENSMUST00000027068","Tram1"
"ENSMUST00000027090","Crygb"
"ENSMUST00000027111","Ndufs1"
"ENSMUST00000027144","Cps1"
"ENSMUST00000027165","Cd28"
"ENSMUST00000027217","1500015O10Rik"
"ENSMUST00000027243","Il1r2"
"ENSMUST00000027263","Stk17b"
"ENSMUST00000027277","Stat4"
"ENSMUST00000027279","Nabp1"
"ENSMUST00000027285","Unc50"
"ENSMUST00000027297","Plekhb2"
"ENSMUST00000027299","Prss39"
"ENSMUST00000027302","Ptpn18"
"ENSMUST00000027331","Tm4sf20"
"ENSMUST00000027356","Cyp27a1"
"ENSMUST00000027366","Vil1"
"ENSMUST00000027370","Pnkd"
"ENSMUST00000027374","Tnp1"
"ENSMUST00000027377","Igfbp5"
"ENSMUST00000027381","Pecr"
"ENSMUST00000027404","Ptprn"
"ENSMUST00000027425","Itm2c"
"ENSMUST00000027444","Pde6d"
"ENSMUST00000027467","Serpine2"
"ENSMUST00000027472","Efhd1"
"ENSMUST00000027477","Ngef"
"ENSMUST00000027491","Agxt"
"ENSMUST00000027493","Pask"
"ENSMUST00000027512","Atg16l1"
"ENSMUST00000027518","Spp2"
"ENSMUST00000027528","Mlph"
"ENSMUST00000027566","Serpinb11"
"ENSMUST00000027582","Lypd1"
"ENSMUST00000027601","Mcm6"
"ENSMUST00000027603","Rgs18"
"ENSMUST00000027612","Gm4788"
"ENSMUST00000027615","F13b"
"ENSMUST00000027629","Tfcp2l1"
"ENSMUST00000027632","Epb4.1l5"
"ENSMUST00000027634","Dbi"
"ENSMUST00000027639","Marco"
"ENSMUST00000027649","Nr5a2"
"ENSMUST00000027657","C4bp"
"ENSMUST00000027667","Pkp1"
"ENSMUST00000027671","Tnnt2"
"ENSMUST00000027677","Csrp1"
"ENSMUST00000027682","Gpr37l1"
"ENSMUST00000027687","Ube2t"
"ENSMUST00000027688","Rassf5"
"ENSMUST00000027695","Slc45a3"
"ENSMUST00000027752","Lamc1"
"ENSMUST00000027753","Lamc2"
"ENSMUST00000027768","Ahctf1"
"ENSMUST00000027780","Acbd3"
"ENSMUST00000027783","Desi2"
"ENSMUST00000027810","Fh1"
"ENSMUST00000027816","Mptx1"
"ENSMUST00000027846","Tada1"
"ENSMUST00000027853","Mpc2"
"ENSMUST00000027863","Atp1b1"
"ENSMUST00000027877","Kifap3"
"ENSMUST00000027916","Bpnt1"
"ENSMUST00000027955","Olah"
"ENSMUST00000027961","Hspa14"
"ENSMUST00000027975","Phyh"
"ENSMUST00000027991","Rgs4"
"ENSMUST00000027997","Rgs5"
"ENSMUST00000028000","Nuf2"
"ENSMUST00000028004","Aldh9a1"
"ENSMUST00000028005","Mgst3"
"ENSMUST00000028010","Fmo3"
"ENSMUST00000028020","Myoc"
"ENSMUST00000028045","Mrc1"
"ENSMUST00000028071","Bmi1"
"ENSMUST00000028076","Mllt10"
"ENSMUST00000028084","Nr5a1"
"ENSMUST00000028105","Fam188a"
"ENSMUST00000028106","Itga8"
"ENSMUST00000028114","Pfkfb3"
"ENSMUST00000028119","Mastl"
"ENSMUST00000028128","Odf2"
"ENSMUST00000028135","Fam129b"
"ENSMUST00000028139","Med27"
"ENSMUST00000028148","Fpgs"
"ENSMUST00000028161","Cel"
"ENSMUST00000028175","Cytip"
"ENSMUST00000028177","Olfm1"
"ENSMUST00000028200","Tor1a"
"ENSMUST00000028222","Hspa5"
"ENSMUST00000028233","Hc"
"ENSMUST00000028241","Stom"
"ENSMUST00000028251","Rbm18"
"ENSMUST00000028252","Grb14"
"ENSMUST00000028280","Col5a1"
"ENSMUST00000028283","Lcn4"
"ENSMUST00000028288","Notch1"
"ENSMUST00000028299","1700019N19Rik"
"ENSMUST00000028304","Lcn3"
"ENSMUST00000028307","Fcna"
"ENSMUST00000028337","Lrrc26"
"ENSMUST00000028346","Fam166a"
"ENSMUST00000028350","Zmynd19"
"ENSMUST00000028356","Cd302"
"ENSMUST00000028368","Wdsub1"
"ENSMUST00000028389","Frzb"
"ENSMUST00000028392","Dnajc10"
"ENSMUST00000028408","Hat1"
"ENSMUST00000028430","Cyct"
"ENSMUST00000028467","Prg2"
"ENSMUST00000028494","Phospho2"
"ENSMUST00000028509","Gorasp2"
"ENSMUST00000028522","Itga6"
"ENSMUST00000028525","Rapgef4"
"ENSMUST00000028527","Kif18a"
"ENSMUST00000028533","Fshb"
"ENSMUST00000028595","Depdc7"
"ENSMUST00000028609","Elf5"
"ENSMUST00000028624","Gatm"
"ENSMUST00000028630","Slc12a1"
"ENSMUST00000028633","Fbn1"
"ENSMUST00000028639","Meis2"
"ENSMUST00000028640","Dph6"
"ENSMUST00000028648","Syt13"
"ENSMUST00000028677","Hypk"
"ENSMUST00000028681","F2"
"ENSMUST00000028696","Ddb2"
"ENSMUST00000028704","Hao1"
"ENSMUST00000028727","Snap25"
"ENSMUST00000028755","Ehd4"
"ENSMUST00000028758","Itpka"
"ENSMUST00000028763","Tyro3"
"ENSMUST00000028764","Oxt"
"ENSMUST00000028783","Spint1"
"ENSMUST00000028795","Rad51"
"ENSMUST00000028806","Smox"
"ENSMUST00000028826","Chgb"
"ENSMUST00000028834","Tmco5"
"ENSMUST00000028838","Hdc"
"ENSMUST00000028856","Mall"
"ENSMUST00000028857","Nphp1"
"ENSMUST00000028864","Fbln7"
"ENSMUST00000028880","Slc20a1"
"ENSMUST00000028892","Idh3b"
"ENSMUST00000028905","Pcsk2"
"ENSMUST00000028907","Bfsp1"
"ENSMUST00000028926","Napb"
"ENSMUST00000028931","Cst8"
"ENSMUST00000028932","Cst12"
"ENSMUST00000028935","Cst9"
"ENSMUST00000028944","Acss1"
"ENSMUST00000028950","Sdcbp2"
"ENSMUST00000028969","Tpx2"
"ENSMUST00000028970","Mylk2"
"ENSMUST00000028985","Bpifa1"
"ENSMUST00000028987","Bpifb1"
"ENSMUST00000028997","Aurka"
"ENSMUST00000028999","Pkia"
"ENSMUST00000029002","Stmn2"
"ENSMUST00000029013","Rae1"
"ENSMUST00000029014","Rbm38"
"ENSMUST00000029047","Snx16"
"ENSMUST00000029060","Atp9a"
"ENSMUST00000029061","Sall4"
"ENSMUST00000029069","E2f5"
"ENSMUST00000029078","Car2"
"ENSMUST00000029116","Pcmtd2"
"ENSMUST00000029120","Raly"
"ENSMUST00000029128","Map1lc3a"
"ENSMUST00000029132","Dnajc5b"
"ENSMUST00000029140","Procr"
"ENSMUST00000029172","Ghrh"
"ENSMUST00000029208","Slc13a3"
"ENSMUST00000029217","Ndufb5"
"ENSMUST00000029240","Slc2a2"
"ENSMUST00000029271","Trpc3"
"ENSMUST00000029274","Adad1"
"ENSMUST00000029325","Aadac"
"ENSMUST00000029346","Schip1"
"ENSMUST00000029368","Ccna1"
"ENSMUST00000029374","Nbea"
"ENSMUST00000029377","Tm4sf4"
"ENSMUST00000029385","Serp1"
"ENSMUST00000029400","Mme"
"ENSMUST00000029448","Sycp1"
"ENSMUST00000029450","Tshb"
"ENSMUST00000029454","Casq2"
"ENSMUST00000029464","Hao2"
"ENSMUST00000029465","Hsd3b1"
"ENSMUST00000029477","Slc25a24"
"ENSMUST00000029521","Crct1"
"ENSMUST00000029524","Lce1d"
"ENSMUST00000029530","Lce1a2"
"ENSMUST00000029531","Lce1b"
"ENSMUST00000029547","Creb3l4"
"ENSMUST00000029574","Vcam1"
"ENSMUST00000029611","Lef1"
"ENSMUST00000029625","Sfrp2"
"ENSMUST00000029628","Plrg1"
"ENSMUST00000029635","Gucy1b3"
"ENSMUST00000029643","Gar1"
"ENSMUST00000029645","Tdo2"
"ENSMUST00000029653","Egf"
"ENSMUST00000029654","Glrb"
"ENSMUST00000029657","Pitx2"
"ENSMUST00000029717","Cd1d1"
"ENSMUST00000029729","Fmo5"
"ENSMUST00000029753","Ecm1"
"ENSMUST00000029761","Myoz2"
"ENSMUST00000029766","Bcar3"
"ENSMUST00000029769","Gclm"
"ENSMUST00000029770","Abcd3"
"ENSMUST00000029771","F3"
"ENSMUST00000029773","Cnn3"
"ENSMUST00000029777","Tmem56"
"ENSMUST00000029780","Ptbp2"
"ENSMUST00000029796","Rap1gds1"
"ENSMUST00000029800","Tspan5"
"ENSMUST00000029805","Mttp"
"ENSMUST00000029810","Slc39a8"
"ENSMUST00000029824","Rpe65"
"ENSMUST00000029837","Uox"
"ENSMUST00000029846","Cyr61"
"ENSMUST00000029850","Cryz"
"ENSMUST00000029865","Trp53inp1"
"ENSMUST00000029871","Cdh17"
"ENSMUST00000029877","Decr1"
"ENSMUST00000029905","Cyp7a1"
"ENSMUST00000029922","Fhl5"
"ENSMUST00000029929","Clca2"
"ENSMUST00000029938","Gtf2b"
"ENSMUST00000029946","Rragd"
"ENSMUST00000029950","Casp8ap2"
"ENSMUST00000029970","Slc35a1"
"ENSMUST00000029975","Cga"
"ENSMUST00000029987","Aldob"
"ENSMUST00000030010","Abca1"
"ENSMUST00000030021","Coro2a"
"ENSMUST00000030036","Brinp1"
"ENSMUST00000030039","Fmn2"
"ENSMUST00000030041","Ambp"
"ENSMUST00000030044","Orm1"
"ENSMUST00000030056","Tnc"
"ENSMUST00000030091","Pole3"
"ENSMUST00000030122","Spink4"
"ENSMUST00000030145","Dcaf12"
"ENSMUST00000030184","Tpm2"
"ENSMUST00000030202","Glipr2"
"ENSMUST00000030212","Sh3gl2"
"ENSMUST00000030248","Tctex1d1"
"ENSMUST00000030261","2610528J11Rik"
"ENSMUST00000030280","Angptl3"
"ENSMUST00000030299","Cyp2j5"
"ENSMUST00000030309","Eqtn"
"ENSMUST00000030317","Pdpn"
"ENSMUST00000030345","Cpt2"
"ENSMUST00000030348","Magoh"
"ENSMUST00000030381","Ctps"
"ENSMUST00000030396","Ermap"
"ENSMUST00000030398","Slc2a1"
"ENSMUST00000030399","Rragc"
"ENSMUST00000030455","Akr1a1"
"ENSMUST00000030456","Nasp"
"ENSMUST00000030465","Tspan1"
"ENSMUST00000030474","Nsun4"
"ENSMUST00000030487","Cyp4a14"
"ENSMUST00000030488","Pdzk1ip1"
"ENSMUST00000030491","Cmpk1"
"ENSMUST00000030526","Pla2g2f"
"ENSMUST00000030535","Cda"
"ENSMUST00000030536","Pink1"
"ENSMUST00000030551","Alpl"
"ENSMUST00000030568","Sema3c"
"ENSMUST00000030572","Hpca"
"ENSMUST00000030575","Tmem54"
"ENSMUST00000030578","Ptp4a2"
"ENSMUST00000030584","Rnf19b"
"ENSMUST00000030588","Phc2"
"ENSMUST00000030622","Syf2"
"ENSMUST00000030627","Rhd"
"ENSMUST00000030637","Ncdn"
"ENSMUST00000030651","Sh3bgrl3"
"ENSMUST00000030658","Tekt2"
"ENSMUST00000030661","Gpn2"
"ENSMUST00000030677","Map3k6"
"ENSMUST00000030709","Smpdl3b"
"ENSMUST00000030734","Sf3a3"
"ENSMUST00000030739","Epb4.1"
"ENSMUST00000030765","Padi2"
"ENSMUST00000030768","Kcnab2"
"ENSMUST00000030778","Galntl5"
"ENSMUST00000030779","Acot7"
"ENSMUST00000030791","Smarcd3"
"ENSMUST00000030805","Park7"
"ENSMUST00000030806","Kif1b"
"ENSMUST00000030811","Errfi1"
"ENSMUST00000030817","Car6"
"ENSMUST00000030826","Slc2a5"
"ENSMUST00000030830","H6pd"
"ENSMUST00000030839","Ctnnbip1"
"ENSMUST00000030860","Mad2l2"
"ENSMUST00000030872","Orc5"
"ENSMUST00000030925","Gabrd"
"ENSMUST00000030935","Fam213b"
"ENSMUST00000030937","Mmp23"
"ENSMUST00000030940","Gnb1"
"ENSMUST00000030947","Mxra8"
"ENSMUST00000030964","Cd38"
"ENSMUST00000030968","Pacrgl"
"ENSMUST00000030971","Gpr125"
"ENSMUST00000030985","Hgfac"
"ENSMUST00000031004","Crmp1"
"ENSMUST00000031009","Nsg1"
"ENSMUST00000031051","Cgref1"
"ENSMUST00000031055","Emilin1"
"ENSMUST00000031072","Anapc4"
"ENSMUST00000031090","Sel1l3"
"ENSMUST00000031093","Cckar"
"ENSMUST00000031106","Rhoh"
"ENSMUST00000031117","Gnpda2"
"ENSMUST00000031122","Gabrb1"
"ENSMUST00000031131","Uchl1"
"ENSMUST00000031143","Srd5a3"
"ENSMUST00000031145","Pdcl2"
"ENSMUST00000031181","Ugt2b34"
"ENSMUST00000031183","Ugt2b1"
"ENSMUST00000031195","Ugt2a3"
"ENSMUST00000031199","Sult1b1"
"ENSMUST00000031201","Sult1e1"
"ENSMUST00000031211","Smr3a"
"ENSMUST00000031221","Cdc7"
"ENSMUST00000031224","Tgfbr3"
"ENSMUST00000031229","Rufy3"
"ENSMUST00000031235","Gbp8"
"ENSMUST00000031246","Ibsp"
"ENSMUST00000031286","Crybb1"
"ENSMUST00000031287","Tpst2"
"ENSMUST00000031295","Crybb2"
"ENSMUST00000031304","Tesc"
"ENSMUST00000031311","Dck"
"ENSMUST00000031314","Alb"
"ENSMUST00000031318","Cxcl5"
"ENSMUST00000031319","Ppbp"
"ENSMUST00000031320","Pf4"
"ENSMUST00000031322","Cxcl15"
"ENSMUST00000031325","Areg"
"ENSMUST00000031331","Ccng2"
"ENSMUST00000031334","Eif2b1"
"ENSMUST00000031345","Rchy1"
"ENSMUST00000031355","Uso1"
"ENSMUST00000031367","Slc15a4"
"ENSMUST00000031434","Rnf34"
"ENSMUST00000031456","Pde6b"
"ENSMUST00000031486","Prkab1"
"ENSMUST00000031495","Pla2g1b"
"ENSMUST00000031587","Ung"
"ENSMUST00000031640","Cdk8"
"ENSMUST00000031650","Cdx2"
"ENSMUST00000031653","Flt1"
"ENSMUST00000031663","C8b"
"ENSMUST00000031674","Tfpi2"
"ENSMUST00000031678","Tspan12"
"ENSMUST00000031694","Lmod2"
"ENSMUST00000031695","Wasl"
"ENSMUST00000031697","Cul1"
"ENSMUST00000031707","Aass"
"ENSMUST00000031713","Slc13a1"
"ENSMUST00000031719","Fscn3"
"ENSMUST00000031729","Tfr2"
"ENSMUST00000031731","Pcolce"
"ENSMUST00000031741","Cyp3a13"
"ENSMUST00000031766","Asns"
"ENSMUST00000031779","Calu"
"ENSMUST00000031788","Hibadh"
"ENSMUST00000031795","Fkbp9"
"ENSMUST00000031806","Cpa1"
"ENSMUST00000031822","Abcg2"
"ENSMUST00000031835","Aoc1"
"ENSMUST00000031837","1600015I10Rik"
"ENSMUST00000031843","Npy"
"ENSMUST00000031897","Gstk1"
"ENSMUST00000031898","Sval1"
"ENSMUST00000031931","2210010C04Rik"
"ENSMUST00000031937","Moxd2"
"ENSMUST00000031967","Prss37"
"ENSMUST00000032073","Nat8"
"ENSMUST00000032074","Cml5"
"ENSMUST00000032089","Reg3g"
"ENSMUST00000032128","Gkn2"
"ENSMUST00000032129","Gkn1"
"ENSMUST00000032141","Hmces"
"ENSMUST00000032152","Prok2"
"ENSMUST00000032172","Chchd6"
"ENSMUST00000032175","Aldh1l1"
"ENSMUST00000032183","Tmem43"
"ENSMUST00000032185","Slc6a6"
"ENSMUST00000032192","Itpr1"
"ENSMUST00000032210","Mfap5"
"ENSMUST00000032262","Clec1b"
"ENSMUST00000032264","Gabarapl1"
"ENSMUST00000032265","Olr1"
"ENSMUST00000032309","Ybx3"
"ENSMUST00000032336","Plbd1"
"ENSMUST00000032338","Gucy2c"
"ENSMUST00000032344","Arhgdib"
"ENSMUST00000032347","Rerg"
"ENSMUST00000032356","Plcz1"
"ENSMUST00000032376","Lmcd1"
"ENSMUST00000032383","Sspn"
"ENSMUST00000032396","Lrmp"
"ENSMUST00000032402","Bcat1"
"ENSMUST00000032416","Cidec"
"ENSMUST00000032419","Cmas"
"ENSMUST00000032440","Sec13"
"ENSMUST00000032454","Slc6a1"
"ENSMUST00000032473","Iigp1"
"ENSMUST00000032476","Slc2a3"
"ENSMUST00000032477","Necap1"
"ENSMUST00000032486","Cd27"
"ENSMUST00000032487","Vamp1"
"ENSMUST00000032508","Fkbp4"
"ENSMUST00000032520","Ceacam12"
"ENSMUST00000032539","Slc27a5"
"ENSMUST00000032559","Rtn2"
"ENSMUST00000032573","Pglyrp1"
"ENSMUST00000032594","Ttyh1"
"ENSMUST00000032627","Tubgcp5"
"ENSMUST00000032658","Csrp3"
"ENSMUST00000032703","Slc7a9"
"ENSMUST00000032710","Slc17a6"
"ENSMUST00000032768","Nr2f2"
"ENSMUST00000032781","Nox4"
"ENSMUST00000032800","Tyrobp"
"ENSMUST00000032813","Ryr1"
"ENSMUST00000032825","Mfge8"
"ENSMUST00000032865","Fah"
"ENSMUST00000032902","Calcb"
"ENSMUST00000032906","Calca"
"ENSMUST00000032927","Stard10"
"ENSMUST00000032934","Aldoa"
"ENSMUST00000032955","Klk7"
"ENSMUST00000032969","Pold3"
"ENSMUST00000032988","Prss8"
"ENSMUST00000032997","Lat"
"ENSMUST00000033023","Aqp8"
"ENSMUST00000033036","Dkk3"
"ENSMUST00000033040","Pak1"
"ENSMUST00000033049","Cox6a2"
"ENSMUST00000033050","Lyve1"
"ENSMUST00000033057","Dkkl1"
"ENSMUST00000033063","Cd37"
"ENSMUST00000033096","Nucb1"
"ENSMUST00000033136","Bag3"
"ENSMUST00000033141","Tacc2"
"ENSMUST00000033142","Ptpn5"
"ENSMUST00000033154","Plk1"
"ENSMUST00000033169","Cdr2"
"ENSMUST00000033176","Uqcrc2"
"ENSMUST00000033185","Hpx"
"ENSMUST00000033198","Crym"
"ENSMUST00000033207","Zp2"
"ENSMUST00000033236","Thumpd1"
"ENSMUST00000033255","Gp2"
"ENSMUST00000033263","Umod"
"ENSMUST00000033269","Ctbp2"
"ENSMUST00000033283","Rrm1"
"ENSMUST00000033331","Nrip3"
"ENSMUST00000033378","Ebf3"
"ENSMUST00000033383","Usp11"
"ENSMUST00000033393","Ano1"
"ENSMUST00000033414","Slc6a14"
"ENSMUST00000033427","Sash3"
"ENSMUST00000033444","2610018G03Rik"
"ENSMUST00000033473","Fgf13"
"ENSMUST00000033477","F9"
"ENSMUST00000033480","Atp11c"
"ENSMUST00000033509","Ebp"
"ENSMUST00000033519","Dynlt3"
"ENSMUST00000033541","Fundc2"
"ENSMUST00000033547","Pls3"
"ENSMUST00000033553","Heph"
"ENSMUST00000033578","Magee1"
"ENSMUST00000033585","Pgk2"
"ENSMUST00000033591","Itm2a"
"ENSMUST00000033598","Sh3bgrl"
"ENSMUST00000033608","Sytl4"
"ENSMUST00000033650","Rs1"
"ENSMUST00000033662","Pdha1"
"ENSMUST00000033664","Il2rg"
"ENSMUST00000033674","Itgb1bp2"
"ENSMUST00000033699","Flna"
"ENSMUST00000033720","Rbbp7"
"ENSMUST00000033725","Msl3"
"ENSMUST00000033734","Ap1s2"
"ENSMUST00000033751","Figf"
"ENSMUST00000033752","Slc6a8"
"ENSMUST00000033754","Piga"
"ENSMUST00000033755","Asb11"
"ENSMUST00000033800","Plp1"
"ENSMUST00000033809","Prps1"
"ENSMUST00000033818","Atp11a"
"ENSMUST00000033821","F10"
"ENSMUST00000033824","Lamp1"
"ENSMUST00000033826","Atp4b"
"ENSMUST00000033828","Gas6"
"ENSMUST00000033830","1700029H14Rik"
"ENSMUST00000033842","Myom2"
"ENSMUST00000033852","Defb3"
"ENSMUST00000033854","Defb8"
"ENSMUST00000033876","Gpr124"
"ENSMUST00000033898","Col4a1"
"ENSMUST00000033899","Col4a2"
"ENSMUST00000033915","Gpm6a"
"ENSMUST00000033917","Spata4"
"ENSMUST00000033918","Asb5"
"ENSMUST00000033933","Tmem66"
"ENSMUST00000033938","Polb"
"ENSMUST00000033941","Plat"
"ENSMUST00000033956","Ido1"
"ENSMUST00000033958","Adam3"
"ENSMUST00000033992","Gsr"
"ENSMUST00000034003","Fgl1"
"ENSMUST00000034012","Cnot7"
"ENSMUST00000034015","Sc4mol"
"ENSMUST00000034017","Klhl2"
"ENSMUST00000034022","Sap30"
"ENSMUST00000034030","Tmem184c"
"ENSMUST00000034048","4933411K20Rik"
"ENSMUST00000034049","Slc25a4"
"ENSMUST00000034052","Anxa10"
"ENSMUST00000034053","Pdlim3"
"ENSMUST00000034057","Palld"
"ENSMUST00000034074","N4bp1"
"ENSMUST00000034076","Cbln1"
"ENSMUST00000034085","Brd7"
"ENSMUST00000034132","Orc6"
"ENSMUST00000034136","Gpt2"
"ENSMUST00000034146","Ucp1"
"ENSMUST00000034178","Ces1f"
"ENSMUST00000034187","Mmp2"
"ENSMUST00000034189","Ces1c"
"ENSMUST00000034198","Gnao1"
"ENSMUST00000034205","Cenpn"
"ENSMUST00000034207","Mt4"
"ENSMUST00000034211","Mt3"
"ENSMUST00000034214","Mt2"
"ENSMUST00000034215","Mt1"
"ENSMUST00000034220","Herpud1"
"ENSMUST00000034230","Cx3cl1"
"ENSMUST00000034234","Coq9"
"ENSMUST00000034240","Kifc3"
"ENSMUST00000034244","Tmem38a"
"ENSMUST00000034261","Insl3"
"ENSMUST00000034301","Rab3a"
"ENSMUST00000034303","Mphosph6"
"ENSMUST00000034304","Hsd17b2"
"ENSMUST00000034344","Cmtm2a"
"ENSMUST00000034346","Ces2a"
"ENSMUST00000034363","Hsd11b2"
"ENSMUST00000034368","Ctrl"
"ENSMUST00000034371","Dpep3"
"ENSMUST00000034377","Pla2g15"
"ENSMUST00000034393","Tmed6"
"ENSMUST00000034400","Cyb5b"
"ENSMUST00000034435","Ctrb1"
"ENSMUST00000034469","Egln1"
"ENSMUST00000034473","Spata19"
"ENSMUST00000034499","Dcun1d5"
"ENSMUST00000034508","Usp2"
"ENSMUST00000034511","Trim29"
"ENSMUST00000034534","Ets1"
"ENSMUST00000034537","St3gal4"
"ENSMUST00000034543","Rpusd4"
"ENSMUST00000034552","Fdx1"
"ENSMUST00000034554","Pou2af1"
"ENSMUST00000034585","Apoa4"
