"TRA_new.ensembl.transcript","TRA_new.gene.symbol"
"ENSMUST00000005503","Msh6"
"ENSMUST00000005548","Hmox1"
"ENSMUST00000005607","Asf1b"
"ENSMUST00000005611","Myl10"
"ENSMUST00000005630","Msh4"
"ENSMUST00000005651","Por"
"ENSMUST00000005678","Fcer2a"
"ENSMUST00000005692","Atp4a"
"ENSMUST00000005705","Trim28"
"ENSMUST00000005719","Adcy9"
"ENSMUST00000005722","Mef2c"
"ENSMUST00000005769","Tmod4"
"ENSMUST00000005815","Kit"
"ENSMUST00000005824","Apoa2"
"ENSMUST00000005825","Pan2"
"ENSMUST00000005826","Cs"
"ENSMUST00000005841","Ctcf"
"ENSMUST00000005907","Cd247"
"ENSMUST00000005933","Klk1b16"
"ENSMUST00000005953","Sqrdl"
"ENSMUST00000005964","Adh5"
"ENSMUST00000006005","Pth1r"
"ENSMUST00000006020","Cnga2"
"ENSMUST00000006027","Reep5"
"ENSMUST00000006094","Cyp2d26"
"ENSMUST00000006101","Itgae"
"ENSMUST00000006123","Tuft1"
"ENSMUST00000006128","Rcn1"
"ENSMUST00000006136","Dnase1"
"ENSMUST00000006151","Tyrp1"
"ENSMUST00000006171","Prg4"
"ENSMUST00000006301","Lrwd1"
"ENSMUST00000006362","Rhox6"
"ENSMUST00000006367","Htra1"
"ENSMUST00000006435","Atp6v1b2"
"ENSMUST00000006462","Aamp"
"ENSMUST00000006467","Arpc2"
"ENSMUST00000006476","Upk1a"
"ENSMUST00000006508","Ggt1"
"ENSMUST00000006660","Prl7a2"
"ENSMUST00000006662","Prl8a9"
"ENSMUST00000006679","Prtn3"
"ENSMUST00000006697","Itih3"
"ENSMUST00000006703","Itih4"
"ENSMUST00000006704","Itih1"
"ENSMUST00000006721","Cryba2"
"ENSMUST00000006749","Slc4a1"
"ENSMUST00000006760","Cdt1"
"ENSMUST00000006761","Runx1t1"
"ENSMUST00000006764","Aprt"
"ENSMUST00000006785","Slc17a1"
"ENSMUST00000006828","Aplp1"
"ENSMUST00000006838","Qars"
"ENSMUST00000006898","Gmnn"
"ENSMUST00000006900","Acot13"
"ENSMUST00000006912","Pip4k2a"
"ENSMUST00000006952","Saa4"
"ENSMUST00000006969","Krt23"
"ENSMUST00000007012","Sod2"
"ENSMUST00000007131","Acly"
"ENSMUST00000007139","Eif1b"
"ENSMUST00000007156","Klk1b11"
"ENSMUST00000007236","Syngr3"
"ENSMUST00000007248","Hspa1l"
"ENSMUST00000007249","Slc44a4"
"ENSMUST00000007251","Abhd16a"
"ENSMUST00000007272","Krt14"
"ENSMUST00000007275","Krt13"
"ENSMUST00000007318","Krt31"
"ENSMUST00000007449","Akr1b7"
"ENSMUST00000007584","Pcdha1/Pcdha10/Pcdha11/Pcdha12/Pcdha2/Pcdha4/Pcdha5/Pcdhac1/Pcdhac2/Pcdha9"
"ENSMUST00000008094","Abhd8"
"ENSMUST00000008280","Fhl2"
"ENSMUST00000008297","Clstn3"
